time_sec,pump_pressure
2365200.0,752847.2321101028
2368800.0,803637.3797100465
2372400.0,860943.748602333
2376000.0,791746.5029044077
2379600.0,855707.6488149378
2383200.0,877686.2178925212
2386800.0,899112.0494755044
2390400.0,912554.1914139576
2394000.0,784177.150112792
2397600.0,411335.00368360407
2401200.0,342095.695540356
2404800.0,300000.0
2408400.0,300000.0
2412000.0,300000.0
2415600.0,300000.0
2419200.0,300000.0
2422800.0,300000.0
2426400.0,300000.0
2430000.0,300000.0
2433600.0,300000.0
2437200.0,300000.0
2440800.0,300000.0
2444400.0,300000.0
2448000.0,300000.0
2451600.0,792251.6470353297
2455200.0,781604.1164431629
2458800.0,753375.104190434
2462400.0,769241.6580612444
2466000.0,782533.2593178067
2469600.0,864031.089989536
2473200.0,864285.0898238877
2476800.0,883279.4317961946
2480400.0,701115.4642053437
2484000.0,391115.8325725143
2487600.0,300000.0
2491200.0,300000.0
2494800.0,300000.0
2498400.0,300000.0
2502000.0,300000.0
2505600.0,300000.0
2509200.0,300000.0
2512800.0,300000.0
2516400.0,300000.0
2520000.0,300000.0
2523600.0,300000.0
2527200.0,300000.0
2530800.0,300000.0
2534400.0,300000.0
2538000.0,300000.0
2541600.0,345308.01194481645
2545200.0,363618.13760188903
2548800.0,369304.9075533208
2552400.0,350881.143705229
2556000.0,352935.22408967826
2559600.0,340486.1509006374
2563200.0,338672.14120103227
2566800.0,340332.4263381727
2570400.0,300000.0
2574000.0,300000.0
2577600.0,300000.0
2581200.0,300000.0
2584800.0,300000.0
2588400.0,300000.0
2592000.0,300000.0
2595600.0,300000.0
2599200.0,300000.0
2602800.0,300000.0
2606400.0,300000.0
2610000.0,300000.0
2613600.0,300000.0
2617200.0,300000.0
2620800.0,300000.0
2624400.0,300000.0
2628000.0,300000.0
2631600.0,300000.0
2635200.0,300000.0
2638800.0,303908.63423137646
2642400.0,300000.0
2646000.0,300000.0
2649600.0,300000.0
2653200.0,300000.0
2656800.0,300000.0
2660400.0,300000.0
2664000.0,300000.0
2667600.0,300000.0
2671200.0,300000.0
2674800.0,300000.0
2678400.0,300000.0
