day,hour_in_day,hour,sim_cooling_load_kw,Q_chiller1_kw,Q_chiller2_kw,Q_ice_discharge_kw,Q_ice_charge_kw,Tank_SOC_start_kWh,Tank_SOC_end_kWh,P_chiller_kw,P_ice_make_kw,P_pump_kw,P_total_kw,P_total_kva,P_target_kva,P_excess_kva,tou_price,hourly_energy_cost,solver_status
5,2,98,5317.374093332216,5317.3741,0.0,0.0,3959.9558,7616.0216,11575.977,949.7006786926237,933.9518396226415,156.34748186664433,2040.0000001819096,2400.0000002140114,2400.0,0.0,0.2203,449.4120000400747,Optimal
5,3,99,5239.194365671448,5239.1944,0.0,0.0,4025.7892,11575.977,15601.767,935.7375245579568,949.4785849056603,154.78388731342898,2039.9999967770461,2399.9999962082898,2400.0,0.0,0.2203,449.41199928998327,Optimal
5,4,100,5245.912397289266,5245.9124,0.0,0.0,4020.1321,15601.767,19621.899,936.9373816752992,948.144363207547,154.9182479457853,2039.9999928286315,2399.999991563096,2400.0,0.0,0.2203,449.41199842014754,Optimal
5,5,101,5369.142453549922,5369.1425,0.0,0.0,3916.3628,19621.899,23538.262,958.9466869083765,923.6704716981131,157.38284907099842,2040.0000076774882,2400.000009032339,2400.0,0.0,0.2203,449.4120016913506,Optimal
5,6,102,5548.003939744796,5548.0039,0.0,0.0,3765.7475,23538.262,27304.009,990.8919271298445,888.1479952830188,160.96007879489594,2040.0000012077592,2400.000001420893,2400.0,0.0,0.2203,449.41200026606936,Optimal
5,7,103,6460.059784729352,6460.0598,0.0,0.0,2997.7252,27304.009,30301.734,1153.7881407394177,707.0106603773585,179.20119569458706,2039.9999968113634,2399.9999962486627,2400.0,0.0,0.2203,449.41199929754333,Optimal
5,8,104,9367.628725655593,7032.0,2335.6287,0.0,0.0,30301.734,30301.734,1689.2648498820854,0.0,237.35257451311188,1926.6174243951973,2266.608734582585,2400.0,0.0,0.9564,1842.6169046915668,Optimal
5,9,105,11768.403943307809,7032.0,0.0,4736.4039,0.0,30301.734,25565.33,1255.9385604572244,0.0,285.36807886615617,1541.3066393233805,1813.3019286157419,2400.0,0.0,1.1477,1768.9576299514438,Optimal
5,10,106,12267.071172772956,7032.0,0.0,5235.0712,0.0,25565.33,20330.259,1255.9385604572244,0.0,295.3414234554591,1551.2799839126835,1825.0352751913924,2400.0,0.0,1.1477,1780.4040375365869,Optimal
5,11,107,12238.940020312099,7032.0,2637.2334,2569.7066,0.0,20330.259,17760.553,1745.2211949655732,0.0,294.778800406242,2039.9999953718152,2399.9999945550767,2400.0,0.0,0.2203,449.4119989804109,Optimal
5,12,108,11945.727949750797,7032.0,2668.8417,2244.8863,0.0,17760.553,15515.666,1751.0854435741076,0.0,288.9145589950159,2040.0000025691234,2400.0000030224983,2400.0,0.0,0.2203,449.41200056597785,Optimal
5,13,109,11936.173203919885,7032.0,2669.8717,2234.3015,0.0,15515.666,13281.365,1751.2765381937736,0.0,288.7234640783977,2040.0000022721713,2400.0000026731427,2400.0,0.0,0.5796,1182.3840013169504,Optimal
5,14,110,12288.783376823527,7032.0,2631.8603,2624.9231,0.0,13281.365,10656.442,1744.2243304015658,0.0,295.77566753647056,2039.9999979380364,2399.9999975741603,2400.0,0.0,0.5796,1182.3839988048858,Optimal
5,15,111,12235.094139657393,7032.0,0.0,5203.0941,0.0,10656.442,5453.3476,1255.9385604572244,0.0,294.7018827931479,1550.6404432503723,1824.2828744122028,2400.0,0.0,1.1477,1779.6700367184521,Optimal
5,16,112,12655.908294004901,7032.0,1453.7206,4170.1877,0.0,5453.3476,1283.1599,1525.6455363384862,0.0,303.118165880098,1828.763702218584,2151.4867084924517,2400.0,0.0,1.1477,2098.8721010362688,Optimal
5,17,113,11077.587126901039,7032.0,2762.4273,1283.1599,0.0,1283.1599,0.0,1768.4482636112134,0.0,271.5517425380208,2040.0000061492342,2400.0000072343933,2400.0,0.0,0.9564,1951.0560058811277,Optimal
5,18,114,7864.5720123037145,7032.0,832.57201,0.0,0.0,0.0,0.0,1410.4046105499888,0.0,207.2914402460743,1617.696050796063,1903.1718244659564,2400.0,0.0,0.9564,1547.1645029813546,Optimal
5,19,115,6703.829900234544,6703.8299,0.0,0.0,0.0,0.0,0.0,1197.3262904090016,0.0,184.07659800469088,1381.4028884136924,1625.1798687219912,2400.0,0.0,0.9564,1321.1737224788553,Optimal
5,20,116,6188.4575682898985,6188.4576,0.0,0.0,0.0,0.0,0.0,1105.279085550991,0.0,173.76915136579797,1279.0482369167892,1504.7626316668109,2400.0,0.0,0.9564,1223.2817337872173,Optimal
5,21,117,5826.250940419551,5826.2509,0.0,0.0,0.0,0.0,0.0,1040.5877656724415,0.0,166.525018808391,1207.1127844808325,1420.132687624509,2400.0,0.0,0.9564,1154.4826670774682,Optimal
5,22,118,5515.485498577504,5515.4855,0.0,0.0,0.0,0.0,0.0,985.0840328630112,0.0,160.3097099715501,1145.3937428345612,1347.5220503936014,2400.0,0.0,0.9564,1095.4545756469743,Optimal
5,23,119,5175.285719855589,5175.2857,0.0,0.0,0.0,0.0,0.0,924.3232184318629,0.0,153.50571439711177,1077.8289328289748,1268.0340386223234,2400.0,0.0,0.5796,624.7096494676738,Optimal
6,0,120,4937.316036272157,4937.316,0.0,0.0,4279.9944,0.0,4279.9944,881.8210394713341,1009.4326415094338,148.74632072544316,2040.0000017062112,2400.000002007307,2400.0,0.0,0.2203,449.41200037587834,Optimal
6,1,121,4738.68760260886,4738.6876,0.0,0.0,4447.255,4279.9944,8727.2494,846.3453473834613,1048.880896226415,144.7737520521772,2039.9999956620536,2399.9999948965337,2400.0,0.0,0.2203,449.4119990443504,Optimal
6,2,122,4590.408638569261,4590.4086,0.0,0.0,4572.1175,8727.2494,13299.367,819.8622253973923,1078.3295990566037,141.80817277138522,2039.9999972253813,2399.9999967357426,2400.0,0.0,0.2203,449.4119993887515,Optimal
