time_sec,total_load,user1_load,user3_load,user4_load,user6_load
1213200,5022.620000000001,3827.35,0.0,661.25,534.02
1216800,5031.0,3786.66,0.0,661.83,582.51
1220400,4948.16,3832.26,0.0,550.03,565.87
1224000,4581.54,3605.59,0.0,597.91,378.04
1227600,4667.16,3754.39,0.0,571.64,341.13
1231200,4681.91,3676.34,0.0,607.58,397.99
1234800,4792.82,3725.42,0.0,539.41,527.99
1238400,6965.17,5219.93,0.0,1041.56,703.68
1242000,11116.79,7343.56,348.08,1790.81,1634.34
1245600,11441.92,7796.26,239.09,1664.79,1741.78
1249200,11168.0,7514.55,210.57,1556.77,1886.11
1252800,11242.57,7295.59,209.89,1622.87,2114.22
1256400,11327.170000000002,7238.13,200.08,1669.16,2219.8
1260000,11357.150000000001,7507.38,178.18,1690.24,1981.35
1263600,11264.599999999999,7483.97,188.57,1567.09,2024.97
1267200,10648.3,6629.25,231.05,1657.36,2130.64
1270800,12144.650000000001,8188.5,210.35,1460.87,2284.93
1274400,9500.109999999999,6430.82,0.0,1194.98,1874.31
1278000,7973.4,5288.75,0.0,1037.56,1647.09
1281600,6471.75,4555.03,0.0,768.45,1148.27
1285200,6292.8099999999995,4468.74,0.0,731.66,1092.41
1288800,5610.19,3988.71,0.0,697.33,924.15
1292400,5038.58,3538.49,0.0,665.85,834.24
1296000,5391.049999999999,3973.06,0.0,637.05,780.94
1299600,4736.55,3678.65,0.0,512.98,544.92
1303200,4861.42,3776.51,0.0,646.26,438.65
1306800,4645.7300000000005,3623.35,0.0,592.7,429.68
1310400,4252.5599999999995,3311.52,0.0,573.77,367.27
1314000,4515.049999999999,3556.16,0.0,602.57,356.32
1317600,4539.82,3587.1,0.0,550.15,402.57
1321200,4742.74,3676.88,0.0,588.78,477.08
1324800,5390.26,3949.03,0.0,867.19,574.04
1328400,6842.150000000001,4650.31,0.0,871.42,1320.42
1332000,7579.089999999999,4877.78,0.0,1103.53,1597.78
1335600,7636.759999999999,4685.99,140.82,1152.54,1657.41
1339200,7310.289999999999,4684.49,0.0,1103.24,1522.56
1342800,7447.389999999999,4527.33,0.0,1265.16,1654.9
1346400,7787.1900000000005,4951.87,0.0,1228.09,1607.23
1350000,7766.92,4933.2,0.0,1240.98,1592.74
1353600,7845.610000000001,4997.54,0.0,1186.73,1661.34
1357200,7816.06,4976.52,0.0,1078.76,1760.78
1360800,7162.11,4813.4,0.0,843.71,1505.0
1364400,7193.28,4986.67,0.0,865.7,1340.91
1368000,5913.42,3999.49,0.0,787.46,1126.47
1371600,5612.719999999999,3789.61,0.0,763.13,1059.98
1375200,5179.07,3601.99,0.0,627.25,949.83
1378800,5051.33,3580.97,0.0,645.19,825.17
1382400,4730.52,3543.2,0.0,513.76,673.56
1386000,5036.88,3907.3,0.0,632.53,497.05
1389600,4617.38,3589.41,0.0,600.17,427.8
1393200,4379.96,3503.14,0.0,525.15,351.67
1396800,4270.58,3504.64,0.0,454.99,310.95
1400400,4324.66,3515.14,0.0,503.12,306.4
1404000,4373.93,3433.89,0.0,559.31,380.73
1407600,4929.18,4036.85,0.0,556.62,335.71
1411200,5663.94,4643.13,0.0,586.91,433.9
1414800,5889.1,4737.04,0.0,574.3,577.76
1418400,6394.73,4725.13,0.0,745.2,924.4
1422000,6985.38,5086.33,0.0,719.68,1179.37
1425600,6676.36,4901.14,0.0,694.9,1080.32
1429200,7009.620000000001,5017.56,0.0,864.8,1127.26
1432800,6655.15,4437.75,263.98,874.15,1079.27
1436400,7228.820000000001,5188.22,0.0,899.22,1141.38
1440000,7506.679999999999,5215.57,0.0,942.78,1348.33
1443600,7940.82,5361.62,0.0,979.12,1600.08
1447200,6838.469999999999,4739.44,0.0,750.99,1348.04
1450800,6072.68,4277.79,0.0,621.6,1173.29
1454400,5454.14,3869.91,0.0,571.39,1012.84
1458000,4528.950000000001,3021.32,0.0,547.78,959.85
1461600,4544.33,3054.21,0.0,619.31,870.81
1465200,4379.610000000001,2928.9,0.0,589.24,861.47
1468800,4065.96,2875.62,0.0,575.69,614.65
1472400,4008.09,3060.92,0.0,552.13,395.04
1476000,3843.5099999999998,2986.7,0.0,500.6,356.21
1479600,3107.8300000000004,2378.61,0.0,473.94,255.28
1483200,3366.4500000000003,2633.26,0.0,462.02,271.17
1486800,3715.28,2947.19,0.0,522.57,245.52
1490400,3959.67,2679.98,0.0,1025.19,254.5
1494000,3921.5,2737.61,0.0,799.61,384.28
1497600,7871.01,5737.84,56.0,1340.48,736.69
1501200,10858.2,7693.26,60.1,1672.46,1432.38
1504800,11908.88,8340.17,0.0,1917.16,1651.55
1508400,12129.83,8468.51,54.33,1888.01,1718.98
1512000,12129.83,8468.51,54.33,1888.01,1718.98
1515600,12129.83,8468.51,54.33,1888.01,1718.98
