hour,day,user1_flow_kg_s,user1_T_sup_C,user1_T_ret_C,user1_delta_T_C,user1_Q_sup_kw,user1_demand_kw,user1_Q_unmet_kw,user3_flow_kg_s,user3_T_sup_C,user3_T_ret_C,user3_delta_T_C,user3_Q_sup_kw,user3_demand_kw,user3_Q_unmet_kw,user4_flow_kg_s,user4_T_sup_C,user4_T_ret_C,user4_delta_T_C,user4_Q_sup_kw,user4_demand_kw,user4_Q_unmet_kw,user6_flow_kg_s,user6_T_sup_C,user6_T_ret_C,user6_delta_T_C,user6_Q_sup_kw,user6_demand_kw,user6_Q_unmet_kw,total_Q_sup_kw,total_demand_kw,total_Q_unmet_kw
235,9.791666666666666,93.11201390343031,7.365860972087628,16.32658223330856,8.960721261220932,3492.5924599329473,3530.06,37.467540067052596,22.815671782780168,7.427698629673262,7.4511562235169455,0.023457593843683178,2.240350389527891,0.0,0.0,50.26812465180056,7.446718500987864,10.061597679117588,2.6148791781297236,550.2290733829568,601.82,51.59092661704324,65.62276111496432,7.4308452300295915,10.971927494171634,3.5410822641420427,972.7242427974519,1020.3,47.57575720254806,5017.786126502884,5152.18,134.39387349711615
236,9.833333333333334,93.09650749544788,7.434885155430598,15.940369019220414,8.505483863789816,3314.6039057745343,3440.6,125.99609422546564,22.814901212216856,7.424015263315279,7.448319588476821,0.024304325161542017,2.3211402549924833,0.0,0.0,50.26726909413122,7.407517553238327,9.872596136865024,2.4650785836266973,518.698848946622,491.39,0.0,65.62158823361277,7.416403865018837,10.77788305267145,3.3614791876526136,923.3713346100835,916.12,0.0,4758.995229586232,4848.11,89.11477041376747
237,9.875,93.0769901148409,7.393933490097548,15.510134565834818,8.11620107573727,3162.2365407029765,3139.06,0.0,22.81500140108621,7.376720035478695,7.400991346693907,0.024271311215211533,2.3179974974099147,0.0,0.0,50.26876352604686,7.363749591137817,9.907662543153407,2.5439129520155896,535.3029951654017,539.34,4.037004834598292,65.62334206577765,7.372975329748859,10.651483946887957,3.2785086171390985,900.6040545878249,921.91,21.305945412175106,4600.461587953613,4600.31,0.0
238,9.916666666666666,93.06413994201365,7.329073388097268,15.406603442967178,8.07753005486991,3146.7350297076136,3177.44,30.704970292386406,22.814267975926033,7.299469517468389,7.323897496987918,0.024427979519528797,2.3328848870574785,0.0,0.0,50.267814149489844,7.280587920384037,9.843770182434353,2.563182262050316,539.3475542619396,524.41,0.0,65.62201854406572,7.294024128676261,10.519138620509976,3.2251144918337147,885.9188572355001,870.46,0.0,4574.33432609211,4572.3099999999995,0.0
239,9.958333333333334,93.05283525626508,7.256730892411247,15.184672644168952,7.927941751757705,3088.08527813135,3093.41,5.3247218686497035,22.814218899924843,7.234515689410412,7.25880033169524,0.02428464228482774,2.3191911169383164,0.0,0.0,50.268493816803115,7.223280616383182,9.984609667302836,2.761329050919654,581.049669821204,547.63,0.0,65.62270702657943,7.231843607609887,10.493999394445611,3.2621557868357236,896.1032716845978,892.96,0.0,4567.557410754091,4534.0,0.0
240,10.0,93.05141892607857,7.213631560606635,15.02383394031428,7.810202379707644,3042.1772310434108,3067.97,25.792768956589043,22.815102912363077,7.207076220422937,7.231027632071072,0.023951411648135412,2.287456116020961,0.0,0.0,50.271021275532306,7.214195899452047,10.141522780541308,2.927326881089261,616.0105540957632,608.3,0.0,65.62476174876812,7.209049147306339,9.763436629687957,2.5543874823816184,701.7036587911485,890.89,189.18634120885145,4362.178900046344,4567.16,204.98109995365576
241,10.041666666666666,93.04792836309906,7.236020901014862,15.262603227104497,8.026582326089635,3126.3428045678234,2998.83,0.0,22.814293094224162,7.238643322167009,7.262803992202512,0.024160670035502818,2.3073592311741633,0.0,0.0,50.26913145381015,7.228661395339696,10.110938046778891,2.882276651439195,606.5076306709832,617.48,10.972369329016828,65.6205179775291,7.235714809534635,8.813893454792266,1.5781786452576316,433.5059280818196,502.16,68.65407191818042,4168.663722551801,4118.47,0.0
242,10.083333333333334,93.04938429616821,7.183446433415148,15.547233147816048,8.363786714400899,3257.734424611564,3285.02,27.285575388435973,22.812930762391684,7.149966235284254,7.174446338858215,0.024480103573960577,2.337725732423102,0.0,0.0,50.265730281311065,7.129691334975485,10.098349312051397,2.968657977075912,624.6422922708491,588.98,0.0,65.61545865112191,7.143391763310608,8.492320213326712,1.3489284500161043,370.5051997033904,353.44,0.0,4255.219642318227,4227.44,0.0
243,10.125,93.047250792519,7.121251044546273,15.347277438114938,8.226026393568665,3204.002663674554,3211.46,7.457336325446249,22.813613864549396,7.111293110047679,7.135343826117031,0.024050716069352163,2.2967901757088667,0.0,0.0,50.26732931528055,7.112809092604071,10.040543918221621,2.9277348256175504,616.0511528851782,654.36,38.30884711482179,65.61782078258089,7.1123045328322085,8.601190140033227,1.4888856072010181,408.96143753899116,376.28,0.0,4231.312044274432,4242.1,10.787955725568281
244,10.166666666666666,93.04616421098831,7.120298094771316,15.258813392365612,8.138515297594296,3169.8804425857265,3183.78,13.899557414273659,22.81399245644938,7.121722714284664,7.145699639172648,0.02397692488798331,2.2897812794285533,0.0,0.0,50.26809665463512,7.125362167907287,9.770934384288585,2.6455722163812982,556.6872651771457,571.13,14.442734822854277,65.6190285955718,7.122370334716205,8.545090051650917,1.4227197169347114,390.7944355128488,430.84,40.04556448715118,4119.651924555149,4185.75,66.09807544485102
